Title,Price_pesos,Barangay,Municipality,Seller,Number_Bedrooms,Floor_sqm,Land_sqm,Latitude,Longitude
2BR Single Attached House and Lot at The Granary in Binan Laguna,"2,850,000",San Antonio,Biñan,Broker Joe,2,48,45,121.0895615,14.3355937
RFO 2BR Single Attached House and Lot in San Pedro Laguna,"4,365,614",San Vicente,San Pedro,Broker Joe,2,60,80,121.0535937,14.3494688
2BR House for sale in Nuvali - Facing Makiling view for ₱8.2M,,Canlubang,Calamba,Karmela Agsaluna,2,66,113,121.0533622,14.1857173
Brand new 2 storey H&L in a gated village for sale Near Nuvali Sta Rosa,"28,000,000",Don Jose,Santa Rosa,Sam Marasigan,4,238,210,121.0735873,14.2615584
"FOR SALE: Fully-finished 3 Bedroom Villa - Laguna (DLSU, Broadfield)","19,600,000",Biñan,Biñan,Valerie Geraldez,3,162,117,121.0539924,14.2703263
"FOR SALE: Fully-finished 2 Bedroom Townhouse - Laguna (DLSU, Broadfield)","17,500,000",Biñan,Biñan,Valerie Geraldez,2,138,114,121.0539924,14.2703263
FOR SALE: Newly Renovated Verdana Mamplasan 4BR H&L RFO 21M! Motivated Seller!!,"21,000,000",Langkiwa,Biñan,Sacho Lacson,4,200,207,121.0617653,14.2968418
Harper Villa by Victor Consunji Dev't. Corp.,"85,000,000",Canlubang,Calamba,Miguel Gutierrez,7,460,460,121.0533622,14.1857173
62sqm Serene Single attached House and Lot Rent to own in Nextasia Sanpablo,,Soledad,San Pablo,Bernadete Dipon,1,45,62,121.3168597,14.0414842
72SQM Amina Single attached Rent-to-own for sale in Soledad Sanpablo,,Soledad,San Pablo,Bernadete Dipon,3,45,72,121.3168597,14.0414842
2 storey Townhouse for Sale in Majada Labas Calamba Laguna by Nextasia Land Inc,"1,940,000",Majada Labas,Calamba,Bernadete Dipon,3,40,49,121.104962,14.196755
Semi-furnished 4BR 2T&B family house along LTI-Nuvali road.,"6,500,000",Biñan,Biñan,Roselie Tubeo,3,88,120,121.0539924,14.2703263
2BR House and Lot in Calamba Laguna Preselling and RFO,"1,989,967",Palo-Alto,Calamba,Angela Enriquez,2,40,44,121.113605,14.191945
5BR with Luxury Garden for sale in Avida Parkway Settings Nuvali,"17,400,000",Canlubang,Calamba,Karmela Agsaluna,5,,,121.0533622,14.1857173
5BR Nuvali House and Lot for Sale for 13.8M only,"13,800,000",Canlubang,Calamba,Karmela Agsaluna,5,198,168,121.0533622,14.1857173
"For sale 3BR House and Lot Located in Southwoods, Biñan, Laguna","45,000,000",San Francisco,Biñan,Cynthia Flor Solano Medina,3,,779,121.0555577,14.3336384
"182 SQM House and Lot For Sale in Calamba, Laguna - Averdeen Estate Nuvali Erin","14,385,284",Hornalan,Calamba,Edwin Sayam,3,182,95,121.0822104,14.1753161
"5BR House and Lot for Sale in Brentville International, Biñan, Laguna","58,000,000",Mampalasan,Biñan,COLLIERS INTERNATIONAL PHILIPPINES,5,288,462,121.0810444,14.2923053
"Best Deal Rummage sale! Abrio House and Lot , Nuvali Sta Rosa Laguna","65,000,000",Don Jose,Santa Rosa,Girlie Malapit,7,1800,825,121.0735873,14.2615584
House and lot,"37,537,746",Mampalasan,Biñan,Oscar Franco,4,185,286,121.0810444,14.2923053
House and lot,"38,932,697",Mampalasan,Biñan,Oscar Franco,4,222,240,121.0810444,14.2923053
House and lot,"34,444,800",Mampalasan,Biñan,Oscar Franco,4,179,237,121.0810444,14.2923053
Brentville International,"37,852,746",Mampalasan,Biñan,Oscar Franco,4,185,293,121.0810444,14.2923053
"4 Bedroom House for Sale in Solen Residences, Santa Rosa, Laguna","21,500,000",Malitlit,Santa Rosa,Ma. Monica Festin,4,250,258,121.099378,14.2656453
Brentville International,"41,586,754",Mampalasan,Biñan,Oscar Franco,4,230,310,121.0810444,14.2923053
FOR SALE BRANDNEW HOUSE & LOT DUPLEX UNIT @ BRENTVILLE RESIDENCE,"28,628,452",Mampalasan,Biñan,Chito Chavez,4,,212,121.0810444,14.2923053
Duplex Townhomes,"33,484,792",Mampalasan,Biñan,Oscar Franco,5,212,88,121.0810444,14.2923053
Single Detached Homes,"34,444,800",Mampalasan,Biñan,Oscar Franco,4,179,237,121.0810444,14.2923053
